ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-DK_20170518100005	ParlaMint-DK-en_2017-05-18-20161-M99	u	English	-	-	-	7	84	101	4	
ParlaMint-DK_20170518100005.seg1.1	ParlaMint-DK_20170518100005	s	English	Positive	mixed positive	3.826	1	4	5	0	
ParlaMint-DK_20170518100005.seg1.2	ParlaMint-DK_20170518100005	s	English	Neutral	neutral negative	1.937	1	11	16	2	
ParlaMint-DK_20170518100005.seg1.3	ParlaMint-DK_20170518100005	s	English	Neutral	neutral negative	1.760	1	25	29	1	
ParlaMint-DK_20170518100005.seg1.4	ParlaMint-DK_20170518100005	s	English	Neutral	neutral negative	2.469	1	12	15	0	
ParlaMint-DK_20170518100005.seg1.5	ParlaMint-DK_20170518100005	s	English	Neutral	neutral positive	2.549	1	25	27	1	
ParlaMint-DK_20170518100005.seg1.6	ParlaMint-DK_20170518100005	s	English	Neutral	neutral positive	3.126	1	4	5	0	
ParlaMint-DK_20170518100005.seg1.7	ParlaMint-DK_20170518100005	s	English	Positive	mixed positive	4.075	1	3	4	0	
ParlaMint-DK_20170518100049	ParlaMint-DK-en_2017-05-18-20161-M99	u	English	-	-	-	3	33	37	1	
ParlaMint-DK_20170518100049.seg2.1	ParlaMint-DK_20170518100049	s	English	Neutral	neutral negative	2.132	1	23	25	1	
ParlaMint-DK_20170518100049.seg2.2	ParlaMint-DK_20170518100049	s	English	Neutral	neutral positive	2.888	1	4	5	0	
ParlaMint-DK_20170518100049.seg2.3	ParlaMint-DK_20170518100049	s	English	Positive	mixed positive	4.154	1	6	7	0	
ParlaMint-DK_20170518185027	ParlaMint-DK-en_2017-05-18-20161-M99	u	English	-	-	-	5	41	49	2	
ParlaMint-DK_20170518185027.seg654.1	ParlaMint-DK_20170518185027	s	English	Positive	mixed positive	4.451	1	6	9	1	
ParlaMint-DK_20170518185027.seg654.2	ParlaMint-DK_20170518185027	s	English	Neutral	neutral positive	2.655	1	13	15	0	
ParlaMint-DK_20170518185027.seg654.3	ParlaMint-DK_20170518185027	s	English	Neutral	neutral positive	2.645	1	15	16	1	
ParlaMint-DK_20170518185027.seg654.4	ParlaMint-DK_20170518185027	s	English	Neutral	neutral positive	3.320	1	4	5	0	
ParlaMint-DK_20170518185027.seg654.5	ParlaMint-DK_20170518185027	s	English	Positive	mixed positive	4.075	1	3	4	0	
ParlaMint-DK_20170518185041	ParlaMint-DK-en_2017-05-18-20161-M99	u	English	-	-	-	7	150	171	8	
ParlaMint-DK_20170518185041.seg655.1	ParlaMint-DK_20170518185041	s	English	Negative	mixed negative	1.391	1	58	67	6	
ParlaMint-DK_20170518185041.seg655.2	ParlaMint-DK_20170518185041	s	English	Neutral	neutral positive	3.137	1	2	4	0	
ParlaMint-DK_20170518185041.seg655.3	ParlaMint-DK_20170518185041	s	English	Neutral	neutral positive	2.582	1	16	17	0	
ParlaMint-DK_20170518185041.seg655.4	ParlaMint-DK_20170518185041	s	English	Negative	mixed negative	0.502	1	15	17	0	
ParlaMint-DK_20170518185041.seg655.5	ParlaMint-DK_20170518185041	s	English	Positive	mixed positive	4.450	1	27	29	0	
ParlaMint-DK_20170518185041.seg655.6	ParlaMint-DK_20170518185041	s	English	Neutral	neutral positive	2.558	1	19	23	1	
ParlaMint-DK_20170518185041.seg655.7	ParlaMint-DK_20170518185041	s	English	-	-	-	1	13	14	1	
