ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-GB_2020-02-12-lords.u1	ParlaMint-GB-en_2020-02-12-lords	u	English	-	-	-	2	50	58	3	
ParlaMint-GB_2020-02-12-lords.seg1.1	ParlaMint-GB_2020-02-12-lords.u1	s	English	Neutral	neutral positive	2.746	1	32	37	1	
ParlaMint-GB_2020-02-12-lords.seg1.2	ParlaMint-GB_2020-02-12-lords.u1	s	English	Positive	positive	5.062	1	18	21	2	
ParlaMint-GB_2020-02-12-lords.u2	ParlaMint-GB-en_2020-02-12-lords	u	English	-	-	-	1	17	18	0	
ParlaMint-GB_2020-02-12-lords.seg2.1	ParlaMint-GB_2020-02-12-lords.u2	s	English	Neutral	neutral positive	2.733	1	17	18	0	
ParlaMint-GB_2020-02-12-lords.u173	ParlaMint-GB-en_2020-02-12-lords	u	English	-	-	-	38	888	991	13	
ParlaMint-GB_2020-02-12-lords.seg372.1	ParlaMint-GB_2020-02-12-lords.u173	s	English	Positive	positive	5.144	1	30	39	1	
ParlaMint-GB_2020-02-12-lords.seg372.2	ParlaMint-GB_2020-02-12-lords.u173	s	English	Negative	negative	0.221	1	21	23	0	
ParlaMint-GB_2020-02-12-lords.seg372.3	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	3.308	1	42	44	0	
ParlaMint-GB_2020-02-12-lords.seg372.4	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral negative	1.882	1	23	24	0	
ParlaMint-GB_2020-02-12-lords.seg373.1	ParlaMint-GB_2020-02-12-lords.u173	s	English	Positive	mixed positive	3.561	1	16	19	2	
ParlaMint-GB_2020-02-12-lords.seg373.2	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	3.043	1	12	16	0	
ParlaMint-GB_2020-02-12-lords.seg373.3	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	2.865	1	44	48	0	
ParlaMint-GB_2020-02-12-lords.seg373.4	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral negative	2.011	1	11	12	0	
ParlaMint-GB_2020-02-12-lords.seg373.5	ParlaMint-GB_2020-02-12-lords.u173	s	English	Positive	mixed positive	4.469	1	19	20	0	
ParlaMint-GB_2020-02-12-lords.seg373.6	ParlaMint-GB_2020-02-12-lords.u173	s	English	Positive	positive	5.261	1	13	14	1	
ParlaMint-GB_2020-02-12-lords.seg374.1	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	2.858	1	31	33	0	
ParlaMint-GB_2020-02-12-lords.seg374.2	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	3.121	1	13	15	0	
ParlaMint-GB_2020-02-12-lords.seg374.3	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	3.242	1	13	14	0	
ParlaMint-GB_2020-02-12-lords.seg374.4	ParlaMint-GB_2020-02-12-lords.u173	s	English	Negative	negative	0.259	1	31	34	0	
ParlaMint-GB_2020-02-12-lords.seg374.5	ParlaMint-GB_2020-02-12-lords.u173	s	English	Negative	mixed negative	0.965	1	39	43	1	
ParlaMint-GB_2020-02-12-lords.seg374.6	ParlaMint-GB_2020-02-12-lords.u173	s	English	Negative	mixed negative	0.841	1	26	29	0	
ParlaMint-GB_2020-02-12-lords.seg374.7	ParlaMint-GB_2020-02-12-lords.u173	s	English	Negative	mixed negative	0.982	1	33	37	0	
ParlaMint-GB_2020-02-12-lords.seg375.1	ParlaMint-GB_2020-02-12-lords.u173	s	English	Negative	mixed negative	0.513	1	7	9	0	
ParlaMint-GB_2020-02-12-lords.seg375.2	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	3.312	1	12	15	2	
ParlaMint-GB_2020-02-12-lords.seg375.3	ParlaMint-GB_2020-02-12-lords.u173	s	English	Neutral	neutral positive	2.837	1	27	30	1	
