ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-GA_2022-05-24-DSPG082.u1	ParlaMint-ES-GA_2022-05-24-DSPG082	u	galego	-	-	-	6	123	129	8	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg1.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	galego	Positivo	positivo	4.592	1	2	3	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg2.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	galego	Positivo	positivo mixto	3.832	1	5	6	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg2.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	galego	Neutro	neutro negativo	2.398	1	38	40	1	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg3.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	galego	Neutro	neutro positivo	2.942	1	15	16	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg4.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	galego	Neutro	neutro positivo	2.561	1	36	37	4	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg5.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	galego	Neutro	neutro positivo	2.747	1	27	27	3	
ParlaMint-ES-GA_2022-05-24-DSPG082.u2	ParlaMint-ES-GA_2022-05-24-DSPG082	u	galego	-	-	-	9	343	366	19	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg6.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro positivo	2.723	1	83	85	8	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg6.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro positivo	2.951	1	24	25	1	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro positivo	3.039	1	42	43	4	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro positivo	2.741	1	25	26	1	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s3	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro positivo	3.021	1	55	57	1	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s4	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Negativo	negativo mixto	1.137	1	28	34	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg8.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro positivo	2.595	1	35	39	2	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg8.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro negativo	2.398	1	35	38	2	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg9.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	galego	Neutro	neutro positivo	2.738	1	16	19	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.u4	ParlaMint-ES-GA_2022-05-24-DSPG082	u	galego	-	-	-	3	72	84	7	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg13.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u4	s	galego	Neutro	neutro positivo	3.118	1	31	39	2	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg14.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u4	s	galego	Positivo	positivo	4.787	1	8	9	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg14.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u4	s	galego	Neutro	neutro positivo	3.265	1	33	36	5	
ParlaMint-ES-GA_2022-05-24-DSPG082.u5	ParlaMint-ES-GA_2022-05-24-DSPG082	u	galego	-	-	-	1	11	12	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg15.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u5	s	galego	Neutro	neutro positivo	3.346	1	11	12	0	
