ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-FR_2019-01-16-O1119.u1	ParlaMint-FR_2019-01-16-O1119	u	French	-	-	-	1	13	14	1	
ParlaMint-FR_2019-01-16-O1119.s1	ParlaMint-FR_2019-01-16-O1119.u1	s	French	Neutral	neutral postive	2.558	1	13	14	1	
ParlaMint-FR_2019-01-16-O1119.u2	ParlaMint-FR_2019-01-16-O1119	u	French	-	-	-	1	7	8	1	
ParlaMint-FR_2019-01-16-O1119.s2	ParlaMint-FR_2019-01-16-O1119.u2	s	French	Neutral	neutral postive	3.175	1	7	8	1	
ParlaMint-FR_2019-01-16-O1119.u416	ParlaMint-FR_2019-01-16-O1119	u	French	-	-	-	1	11	12	0	
ParlaMint-FR_2019-01-16-O1119.s1743	ParlaMint-FR_2019-01-16-O1119.u416	s	French	Neutral	neutral negative	1.977	1	11	12	0	
ParlaMint-FR_2019-01-16-O1119.u417	ParlaMint-FR_2019-01-16-O1119	u	French	-	-	-	3	56	64	0	
ParlaMint-FR_2019-01-16-O1119.s1744	ParlaMint-FR_2019-01-16-O1119.u417	s	French	Neutral	neutral negative	1.843	1	10	13	0	
ParlaMint-FR_2019-01-16-O1119.s1745	ParlaMint-FR_2019-01-16-O1119.u417	s	French	Neutral	neutral negative	2.281	1	42	46	0	
ParlaMint-FR_2019-01-16-O1119.s1746	ParlaMint-FR_2019-01-16-O1119.u417	s	French	Neutral	neutral postive	2.851	1	4	5	0	
