ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
tbmm-2018-11-01sit01spe0001par0001	ParlaMint-TR_2018-11-01-tbmm-T27	u	Türkçe	-	-	-	6	51	60	7	
tbmm-2018-11-01sit01spe0001par0001-000010	tbmm-2018-11-01sit01spe0001par0001	s	Türkçe	Nötr	nötr pozitif	3.335	1	7	8	1	
tbmm-2018-11-01sit01spe0001par0002-000010	tbmm-2018-11-01sit01spe0001par0001	s	Türkçe	Nötr	nötr pozitif	3.235	1	7	9	0	
tbmm-2018-11-01sit01spe0001par0003-000010	tbmm-2018-11-01sit01spe0001par0001	s	Türkçe	Nötr	nötr pozitif	2.782	1	10	11	1	
tbmm-2018-11-01sit01spe0001par0004-000010	tbmm-2018-11-01sit01spe0001par0001	s	Türkçe	Nötr	nötr pozitif	2.843	1	20	23	4	
tbmm-2018-11-01sit01spe0001par0005-000010	tbmm-2018-11-01sit01spe0001par0001	s	Türkçe	Pozitif	karışık pozitif	4.019	1	3	4	1	
tbmm-2018-11-01sit01spe0001par0007-000010	tbmm-2018-11-01sit01spe0001par0001	s	Türkçe	Nötr	nötr pozitif	3.425	1	4	5	0	
tbmm-2018-11-01sit01spe0002par0011	ParlaMint-TR_2018-11-01-tbmm-T27	u	Türkçe	-	-	-	23	619	693	43	
tbmm-2018-11-01sit01spe0002par0011-000010	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Pozitif	karışık pozitif	4.396	1	38	43	2	
tbmm-2018-11-01sit01spe0002par0011-000020	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Pozitif	pozitif	4.665	1	20	21	3	
tbmm-2018-11-01sit01spe0002par0011-000030	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Negatif	negatif	0.450	1	23	25	1	
tbmm-2018-11-01sit01spe0002par0011-000040	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Nötr	nötr pozitif	3.148	1	15	16	1	
tbmm-2018-11-01sit01spe0002par0011-000050	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Negatif	negatif	0.136	1	16	17	1	
tbmm-2018-11-01sit01spe0002par0011-000060	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Negatif	negatif	-0.067	1	25	28	1	
tbmm-2018-11-01sit01spe0002par0011-000070	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Negatif	negatif	-0.000	1	33	37	3	
tbmm-2018-11-01sit01spe0002par0011-000080	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Negatif	negatif	0.249	1	34	36	3	
tbmm-2018-11-01sit01spe0002par0011-000090	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Negatif	negatif	0.018	1	41	48	1	
tbmm-2018-11-01sit01spe0002par0011-000100	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Pozitif	karışık pozitif	4.432	1	16	18	1	
tbmm-2018-11-01sit01spe0002par0012-000010	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Negatif	negatif	0.011	1	50	59	4	
tbmm-2018-11-01sit01spe0002par0012-000020	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Nötr	nötr pozitif	2.590	1	15	19	2	
tbmm-2018-11-01sit01spe0002par0012-000030	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Pozitif	karışık pozitif	3.995	1	31	37	1	
tbmm-2018-11-01sit01spe0002par0013-000010	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Pozitif	karışık pozitif	4.481	1	59	65	3	
tbmm-2018-11-01sit01spe0002par0013-000020	tbmm-2018-11-01sit01spe0002par0011	s	Türkçe	Nötr	nötr nagatif	1.853	1	37	40	3	
