ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-FR_2020-10-01-O1003.u1	ParlaMint-FR-en_2020-10-01-O1003	u	English	-	-	-	1	26	30	0	
ParlaMint-FR_2020-10-01-O1003.s1	ParlaMint-FR_2020-10-01-O1003.u1	s	English	Neutral	neutral negative	2.420	1	26	30	0	
ParlaMint-FR_2020-10-01-O1003.u2	ParlaMint-FR-en_2020-10-01-O1003	u	English	-	-	-	1	21	24	1	
ParlaMint-FR_2020-10-01-O1003.s2	ParlaMint-FR_2020-10-01-O1003.u2	s	English	Neutral	neutral negative	2.276	1	21	24	1	
ParlaMint-FR_2020-10-01-O1003.u431	ParlaMint-FR-en_2020-10-01-O1003	u	English	-	-	-	6	25	26	0	
ParlaMint-FR_2020-10-01-O1003.s1208	ParlaMint-FR_2020-10-01-O1003.u431	s	English	Neutral	neutral positive	2.809	1	8	9	0	
ParlaMint-FR_2020-10-01-O1003.s1209	ParlaMint-FR_2020-10-01-O1003.u431	s	English	Neutral	neutral positive	2.935	1	4	4	0	
ParlaMint-FR_2020-10-01-O1003.s1210	ParlaMint-FR_2020-10-01-O1003.u431	s	English	Neutral	neutral negative	2.437	1	5	5	0	
ParlaMint-FR_2020-10-01-O1003.s1211	ParlaMint-FR_2020-10-01-O1003.u431	s	English	Neutral	neutral positive	2.660	1	3	3	0	
ParlaMint-FR_2020-10-01-O1003.s1212	ParlaMint-FR_2020-10-01-O1003.u431	s	English	Positive	mixed positive	3.961	1	3	3	0	
ParlaMint-FR_2020-10-01-O1003.s1213	ParlaMint-FR_2020-10-01-O1003.u431	s	English	Neutral	neutral negative	2.111	1	2	2	0	
ParlaMint-FR_2020-10-01-O1003.u432	ParlaMint-FR-en_2020-10-01-O1003	u	English	-	-	-	3	21	24	0	
ParlaMint-FR_2020-10-01-O1003.s1214	ParlaMint-FR_2020-10-01-O1003.u432	s	English	Neutral	neutral negative	2.258	1	5	6	0	
ParlaMint-FR_2020-10-01-O1003.s1215	ParlaMint-FR_2020-10-01-O1003.u432	s	English	Neutral	neutral positive	2.585	1	12	13	0	
ParlaMint-FR_2020-10-01-O1003.s1216	ParlaMint-FR_2020-10-01-O1003.u432	s	English	Neutral	neutral positive	2.851	1	4	5	0	
