ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-PL_2020-01-17-senat-03-3.u1	ParlaMint-PL-en_2020-01-17-senat-03-3	u	English	-	-	-	24	520	577	23	
seg971932.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	4.041	1	4	5	0	
seg971933.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	4.049	1	2	3	0	
seg971934.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	3.760	1	28	32	2	
seg971935.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	4.039	1	26	28	1	
seg971935.2	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.333	1	14	15	0	
seg971935.3	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.023	1	33	37	1	
seg971935.4	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	2.748	1	28	29	1	
seg971935.5	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.235	1	11	12	0	
seg971935.6	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	2.767	1	55	62	2	
seg971935.7	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.143	1	38	43	2	
seg971935.8	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	2.791	1	27	32	2	
seg971935.9	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.039	1	32	35	1	
seg971935.10	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	3.579	1	16	17	1	
seg971935.11	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.060	1	38	41	1	
seg971935.12	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.117	1	5	6	0	
seg971936.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	3.870	1	28	32	0	
seg971936.2	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.204	1	1	2	0	
seg971936.3	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	2.623	1	7	8	0	
seg971936.4	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	4.365	1	19	21	0	
seg971937.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	3.912	1	25	27	1	
seg971938.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	4.396	1	14	16	3	
seg971939.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Positive	mixed positive	3.539	1	15	16	0	
seg971939.2	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.250	1	18	19	1	
seg971940.1	ParlaMint-PL_2020-01-17-senat-03-3.u1	s	English	Neutral	neutral positive	3.459	1	36	39	4	
ParlaMint-PL_2020-01-17-senat-03-3.u2	ParlaMint-PL-en_2020-01-17-senat-03-3	u	English	-	-	-	29	489	550	32	
seg971941.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Positive	positive	4.600	1	2	3	0	
seg971942.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Positive	mixed positive	3.980	1	2	3	1	
seg971942.2	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Positive	mixed positive	4.444	1	2	3	0	
seg971942.3	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Positive	mixed positive	3.778	1	6	8	1	
seg971943.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Neutral	neutral negative	2.450	1	28	29	2	
seg971944.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Negative	negative	0.027	1	26	31	2	
seg971944.2	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Negative	negative	0.123	1	10	11	0	
seg971944.3	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Negative	negative	0.266	1	15	16	0	
seg971944.4	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Negative	negative	0.421	1	8	9	0	
seg971944.5	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Negative	negative	0.187	1	20	21	1	
seg971945.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Neutral	neutral positive	2.756	1	26	28	3	
seg971945.2	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Neutral	neutral positive	3.485	1	18	22	0	
seg971945.3	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Neutral	neutral negative	1.895	1	27	29	1	
seg971946.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Positive	mixed positive	3.802	1	2	3	0	
seg971947.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Positive	mixed positive	3.552	1	13	26	0	
seg971947.2	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Neutral	neutral positive	3.273	1	14	16	0	
seg971948.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Neutral	neutral positive	3.355	1	10	12	0	
seg971949.1	ParlaMint-PL_2020-01-17-senat-03-3.u2	s	English	Positive	mixed positive	4.431	1	16	17	2	
