ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-GB_2017-09-07-commons.u1	ParlaMint-GB-en_2017-09-07-commons	u	English	-	-	-	2	23	25	2	
ParlaMint-GB_2017-09-07-commons.seg1.1	ParlaMint-GB_2017-09-07-commons.u1	s	English	Neutral	neutral positive	2.767	1	1	2	0	
ParlaMint-GB_2017-09-07-commons.seg1.2	ParlaMint-GB_2017-09-07-commons.u1	s	English	Neutral	neutral positive	2.723	1	22	23	2	
ParlaMint-GB_2017-09-07-commons.u2	ParlaMint-GB-en_2017-09-07-commons	u	English	-	-	-	4	90	97	1	
ParlaMint-GB_2017-09-07-commons.seg2.1	ParlaMint-GB_2017-09-07-commons.u2	s	English	Neutral	neutral negative	2.411	1	17	18	0	
ParlaMint-GB_2017-09-07-commons.seg2.2	ParlaMint-GB_2017-09-07-commons.u2	s	English	Neutral	neutral negative	2.426	1	34	36	1	
ParlaMint-GB_2017-09-07-commons.seg2.3	ParlaMint-GB_2017-09-07-commons.u2	s	English	Negative	mixed negative	1.055	1	12	13	0	
ParlaMint-GB_2017-09-07-commons.seg2.4	ParlaMint-GB_2017-09-07-commons.u2	s	English	Neutral	neutral positive	2.765	1	27	30	0	
ParlaMint-GB_2017-09-07-commons.u581	ParlaMint-GB-en_2017-09-07-commons	u	English	-	-	-	1	48	50	0	
ParlaMint-GB_2017-09-07-commons.seg958.1	ParlaMint-GB_2017-09-07-commons.u581	s	English	Neutral	neutral positive	3.331	1	48	50	0	
ParlaMint-GB_2017-09-07-commons.u582	ParlaMint-GB-en_2017-09-07-commons	u	English	-	-	-	4	90	95	0	
ParlaMint-GB_2017-09-07-commons.seg959.1	ParlaMint-GB_2017-09-07-commons.u582	s	English	Neutral	neutral negative	2.326	1	26	28	0	
ParlaMint-GB_2017-09-07-commons.seg959.2	ParlaMint-GB_2017-09-07-commons.u582	s	English	Negative	mixed negative	0.993	1	32	33	0	
ParlaMint-GB_2017-09-07-commons.seg960.1	ParlaMint-GB_2017-09-07-commons.u582	s	English	Positive	mixed positive	4.128	1	27	28	0	
ParlaMint-GB_2017-09-07-commons.seg961.1	ParlaMint-GB_2017-09-07-commons.u582	s	English	Positive	mixed positive	3.786	1	5	6	0	
