ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-CT_2018-05-04-0702.1.0	ParlaMint-ES-CT-en_2018-05-04-0702	u	English	-	-	-	4	67	75	2	
ParlaMint-ES-CT_2018-05-04-0702.1.0.0.1	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	English	Positive	mixed positive	3.804	1	11	13	0	
ParlaMint-ES-CT_2018-05-04-0702.1.0.1.1	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	English	Neutral	neutral positive	2.834	1	22	23	0	
ParlaMint-ES-CT_2018-05-04-0702.1.0.1.2	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	English	Neutral	neutral positive	2.939	1	12	13	1	
ParlaMint-ES-CT_2018-05-04-0702.1.0.1.3	ParlaMint-ES-CT_2018-05-04-0702.1.0	s	English	Neutral	neutral positive	2.559	1	22	26	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0	ParlaMint-ES-CT-en_2018-05-04-0702	u	English	-	-	-	67	1519	1776	26	
ParlaMint-ES-CT_2018-05-04-0702.2.0.0.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	4.711	1	3	5	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.0.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	mixed positive	3.697	1	19	21	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.0.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.184	1	25	28	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.011	1	33	34	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	-0.098	1	23	27	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	-0.204	1	21	23	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.1.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.202	1	13	15	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.2.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral positive	3.265	1	60	75	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.2.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral positive	3.130	1	55	65	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	mixed positive	3.838	1	42	51	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.216	1	21	26	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	mixed negative	0.851	1	40	47	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.3.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	mixed negative	0.594	1	31	35	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	mixed positive	3.531	1	24	28	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral positive	2.705	1	7	8	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.192	1	44	49	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.041	1	22	24	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.280	1	25	29	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.4.6	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.054	1	12	14	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.5.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.321	1	18	21	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.5.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.237	1	8	10	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.5.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.177	1	16	17	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.5.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.038	1	19	23	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.5.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.271	1	20	27	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.5.6	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	4.578	1	44	50	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	4.892	1	13	16	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	5.104	1	13	16	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral positive	2.866	1	11	14	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	5.249	1	13	14	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.334	1	9	10	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.6	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	-0.011	1	31	39	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.7	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.034	1	33	35	2	
ParlaMint-ES-CT_2018-05-04-0702.2.0.6.8	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral positive	2.565	1	13	16	2	
ParlaMint-ES-CT_2018-05-04-0702.2.0.7.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.275	1	6	7	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.7.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	mixed positive	3.990	1	16	20	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.7.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	4.807	1	9	10	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.8.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.079	1	39	47	2	
ParlaMint-ES-CT_2018-05-04-0702.2.0.8.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	-0.077	1	35	40	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.8.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.084	1	9	11	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.8.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	5.388	1	11	14	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.8.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.072	1	11	12	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.8.6	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.006	1	10	14	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.8.7	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.373	1	12	15	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.9.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	mixed positive	4.429	1	20	25	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.9.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.056	1	17	22	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.9.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral positive	3.348	1	23	27	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.9.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.486	1	25	30	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.9.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral negative	1.976	1	25	30	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.10.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.025	1	31	36	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.10.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.154	1	24	27	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.10.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral negative	2.360	1	9	11	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.10.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.269	1	8	10	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.10.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.419	1	30	35	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.11.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.068	1	31	36	2	
ParlaMint-ES-CT_2018-05-04-0702.2.0.11.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.109	1	11	14	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.11.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.056	1	21	23	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.11.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	mixed negative	0.542	1	41	46	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.11.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.086	1	42	46	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.12.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.002	1	44	50	2	
ParlaMint-ES-CT_2018-05-04-0702.2.0.12.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.191	1	17	19	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.12.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	mixed positive	4.486	1	32	37	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.12.4	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Neutral	neutral positive	2.703	1	13	14	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.12.5	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.341	1	28	30	1	
ParlaMint-ES-CT_2018-05-04-0702.2.0.13.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	5.574	1	17	22	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.13.2	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Negative	negative	0.343	1	22	25	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.13.3	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	5.192	1	31	35	0	
ParlaMint-ES-CT_2018-05-04-0702.2.0.14.1	ParlaMint-ES-CT_2018-05-04-0702.2.0	s	English	Positive	positive	4.808	1	18	24	0	
ParlaMint-ES-CT_2018-05-04-0702.159.0	ParlaMint-ES-CT-en_2018-05-04-0702	u	English	-	-	-	5	109	129	1	
ParlaMint-ES-CT_2018-05-04-0702.159.0.0.1	ParlaMint-ES-CT_2018-05-04-0702.159.0	s	English	Positive	positive	4.711	1	3	5	0	
ParlaMint-ES-CT_2018-05-04-0702.159.0.0.2	ParlaMint-ES-CT_2018-05-04-0702.159.0	s	English	Neutral	neutral positive	2.954	1	7	8	0	
ParlaMint-ES-CT_2018-05-04-0702.159.0.0.3	ParlaMint-ES-CT_2018-05-04-0702.159.0	s	English	Negative	negative	0.331	1	52	60	0	
ParlaMint-ES-CT_2018-05-04-0702.159.0.0.4	ParlaMint-ES-CT_2018-05-04-0702.159.0	s	English	Negative	negative	-0.021	1	45	53	1	
