ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-NL_2022-07-12-eerstekamer-3.u1	ParlaMint-NL_2022-07-12-eerstekamer-3	u	Nederlands	-	-	-	2	40	45	2	
ParlaMint-NL_2022-07-12-eerstekamer-3.s1	ParlaMint-NL_2022-07-12-eerstekamer-3.u1	s	Nederlands	Positief	gemend-positief	3.754	1	22	24	2	
ParlaMint-NL_2022-07-12-eerstekamer-3.s2	ParlaMint-NL_2022-07-12-eerstekamer-3.u1	s	Nederlands	Positief	gemend-positief	4.105	1	18	21	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.u2	ParlaMint-NL_2022-07-12-eerstekamer-3	u	Nederlands	-	-	-	1	9	10	1	
ParlaMint-NL_2022-07-12-eerstekamer-3.s4	ParlaMint-NL_2022-07-12-eerstekamer-3.u2	s	Nederlands	Neutraal	neutraal-positief	3.152	1	9	10	1	
ParlaMint-NL_2022-07-12-eerstekamer-3.u79	ParlaMint-NL_2022-07-12-eerstekamer-3	u	Nederlands	-	-	-	1	3	4	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s528	ParlaMint-NL_2022-07-12-eerstekamer-3.u79	s	Nederlands	Positief	positief	4.782	1	3	4	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.u80	ParlaMint-NL_2022-07-12-eerstekamer-3	u	Nederlands	-	-	-	6	57	63	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s530	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	Nederlands	Neutraal	neutraal-positief	2.778	1	7	8	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s531	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	Nederlands	Neutraal	neutraal-positief	2.583	1	9	10	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s532	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	Nederlands	Neutraal	neutraal-positief	3.347	1	4	5	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s533	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	Nederlands	Neutraal	neutraal-positief	2.677	1	15	16	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s534	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	Nederlands	Neutraal	neutraal-positief	3.092	1	11	12	0	
ParlaMint-NL_2022-07-12-eerstekamer-3.s535	ParlaMint-NL_2022-07-12-eerstekamer-3.u80	s	Nederlands	Neutraal	neutraal-negatief	2.388	1	11	12	0	
