ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-GA_2022-05-24-DSPG082.u1	ParlaMint-ES-GA-en_2022-05-24-DSPG082	u	English	-	-	-	6	94	100	7	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg1.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	English	Positive	positive	4.592	1	2	3	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg2.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	English	Positive	mixed positive	3.832	1	4	5	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg2.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	English	Neutral	neutral negative	2.398	1	19	21	1	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg3.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	English	Neutral	neutral positive	2.942	1	12	13	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg4.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	English	Neutral	neutral positive	2.561	1	33	34	3	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg5.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u1	s	English	Neutral	neutral positive	2.747	1	24	24	3	
ParlaMint-ES-GA_2022-05-24-DSPG082.u2	ParlaMint-ES-GA-en_2022-05-24-DSPG082	u	English	-	-	-	9	277	304	19	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg6.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral positive	2.723	1	67	70	6	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg6.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral positive	2.951	1	16	19	2	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral positive	3.039	1	31	33	3	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral positive	2.741	1	18	19	3	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s3	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral positive	3.021	1	39	42	1	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg7.s4	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Negative	mixed negative	1.137	1	28	33	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg8.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral positive	2.595	1	35	39	2	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg8.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral negative	2.398	1	30	33	2	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg9.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u2	s	English	Neutral	neutral positive	2.738	1	13	16	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.u4	ParlaMint-ES-GA-en_2022-05-24-DSPG082	u	English	-	-	-	3	62	71	7	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg13.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u4	s	English	Neutral	neutral positive	3.118	1	29	34	2	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg14.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u4	s	English	Positive	positive	4.787	1	4	5	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg14.s2	ParlaMint-ES-GA_2022-05-24-DSPG082.u4	s	English	Neutral	neutral positive	3.265	1	29	32	5	
ParlaMint-ES-GA_2022-05-24-DSPG082.u5	ParlaMint-ES-GA-en_2022-05-24-DSPG082	u	English	-	-	-	1	14	15	0	
ParlaMint-ES-GA_2022-05-24-DSPG082.seg15.s1	ParlaMint-ES-GA_2022-05-24-DSPG082.u5	s	English	Neutral	neutral positive	3.346	1	14	15	0	
