ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
i-ba85b049978249cc-2	ParlaMint-SE-en_2017-12-12-prot-201718--48	u	English	-	-	-	111	1927	2108	29	
i-7KxzKQVPSbSae8QwkWk5BA	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.017	1	5	6	0	
i-7KxzctzF2xdwEpvTcn3tPW	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.944	1	9	10	0	
i-7KxzmE5hQrACa7T5wBuoFa	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	3.038	1	14	15	1	
i-7KxzstZG7ZNp395Bnibj9E	i-ba85b049978249cc-2	s	English	Positive	positive	4.826	1	38	40	0	
i-7KxzzZ2ppGbRWAhHeFHf2t	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.533	1	6	8	0	
i-7Ky17DWPWyp2yCKPVmyavY	i-ba85b049978249cc-2	s	English	Neutral	neutral negative	2.100	1	9	10	0	
i-7Ky1DsyxDh2eSDwVMJfWpC	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	3.179	1	15	16	1	
i-7Ky1LYTWvQFFuFZbCqMShr	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.570	1	15	16	0	
i-7Ky1SNd8nXK3S9jRpvTP7J	i-ba85b049978249cc-2	s	English	Negative	negative	0.300	1	22	25	0	
i-7Ky1Z36hVEXeuBMXgT9Jzx	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.182	1	23	25	0	
i-7Ky1fhaGBwkGNCydXyqEtc	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	3.068	1	12	13	0	
i-7Ky1mXjt44p3u79UA4wBJ4	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.423	1	24	25	1	
i-7Ky1tCDSkn2fN8ma1bd7Bi	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.248	1	24	26	1	
i-7Ky1zrh1TVFGqAPfs8K35N	i-ba85b049978249cc-2	s	English	Negative	mixed negative	1.179	1	17	19	0	
i-7Ky29BnTqNmYASvJBYAwwS	i-ba85b049978249cc-2	s	English	Neutral	neutral negative	2.394	1	10	11	1	
i-7Ky2FrG2Y5z9dUYQ34rsq6	i-ba85b049978249cc-2	s	English	Negative	negative	0.184	1	33	34	0	
i-7Ky2NWjbEoCm6WAVtbYoik	i-ba85b049978249cc-2	s	English	Neutral	neutral negative	2.011	1	17	20	1	
i-7Ky2VBD9wWRNZXnbk8EjcQ	i-ba85b049978249cc-2	s	English	Negative	negative	0.397	1	21	22	0	
i-7Ky2bqgieDdz2ZQhbevfW4	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	3.375	1	9	10	1	
i-7Ky2iWAHLvrbVb2oTBcbPi	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.864	1	12	13	0	
i-7Ky2qAdr3e5CxceuJiJXHN	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.612	1	7	8	1	
i-7Ky2vzoTum8zVWpjvoQTgp	i-ba85b049978249cc-2	s	English	Negative	mixed negative	0.795	1	16	18	0	
i-7Ky33fH2cUMbxYSqnL6PaU	i-ba85b049978249cc-2	s	English	Negative	negative	0.112	1	16	17	0	
i-7Ky3AKkbKBaDRa4wdrnKU8	i-ba85b049978249cc-2	s	English	Positive	positive	5.203	1	20	21	0	
i-7Ky3G9vDBJdzxUEnFwtFsa	i-ba85b049978249cc-2	s	English	Positive	mixed positive	3.895	1	23	25	1	
i-7Ky3NpPmt1rcRVrt7UaBmE	i-ba85b049978249cc-2	s	English	Negative	negative	0.132	1	31	32	0	
i-7Ky3VUsLaj5DtXUyy1G7et	i-ba85b049978249cc-2	s	English	Negative	negative	0.114	1	24	28	0	
i-7Ky3c9LuHSHqMZ75pXx3YY	i-ba85b049978249cc-2	s	English	Negative	mixed negative	0.502	1	11	13	0	
i-7Ky3hyWX9ZMctTGvSd3ywz	i-ba85b049978249cc-2	s	English	Negative	negative	0.191	1	19	21	1	
i-7Ky3pdz5rGaEMUu2J9juqe	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.017	1	5	6	0	
i-7Ky3wJTeYynqpWX89gRqjJ	i-ba85b049978249cc-2	s	English	Neutral	neutral negative	1.577	1	6	7	0	
i-7Ky438dGR6rdMQgxmmXn8k	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.318	1	23	25	0	
i-7Ky49o6q7p5EpSK4dJDi2Q	i-ba85b049978249cc-2	s	English	Positive	mixed positive	3.767	1	23	25	0	
i-7Ky4GTaPpXHrHTwAUpudv4	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.449	1	14	15	0	
i-7Ky4P83xXEWTkVZGLMbZoi	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	3.199	1	16	17	0	
i-7Ky4VnXXDwj5DXBNBtHVhN	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.111	1	17	18	0	
i-7Ky4cT15vewggYoU3QyRb2	i-ba85b049978249cc-2	s	English	Positive	positive	5.345	1	14	15	0	
i-7Ky4iHAhnn1UDSyJfW5MzU	i-ba85b049978249cc-2	s	English	Negative	negative	0.103	1	26	28	0	
i-7Ky4pweGVVE5gUbQX2mHt8	i-ba85b049978249cc-2	s	English	Negative	mixed negative	1.181	1	25	27	0	
i-7Ky4wc7qCCSh9WDWNZTDmn	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.605	1	21	22	0	
i-7Ky54GbPtufJcXqcE699fS	i-ba85b049978249cc-2	s	English	Positive	mixed positive	3.911	1	32	35	1	
i-7Ky5Aw4xbcsv5ZTi5cq5Z6	i-ba85b049978249cc-2	s	English	Positive	positive	4.616	1	32	36	1	
i-7Ky5HbYXJL6XYb5ow9X1Sk	i-ba85b049978249cc-2	s	English	Positive	mixed positive	4.017	1	5	6	0	
i-7Ky5PRi9ATAK5VFeZEcwrC	i-ba85b049978249cc-2	s	English	Negative	negative	0.350	1	6	7	0	
i-7Ky5VFsm2aE6cPRVBKitFe	i-ba85b049978249cc-2	s	English	Negative	negative	0.329	1	17	18	0	
i-7Ky5bvMKjHSi5R3b2rQp9J	i-ba85b049978249cc-2	s	English	Negative	mixed negative	0.544	1	29	30	2	
i-7Ky5hkWwbQWVcKDRewWkYk	i-ba85b049978249cc-2	s	English	Negative	mixed negative	1.143	1	15	17	1	
i-7Ky5oagZTXaH9DPGH2cgxC	i-ba85b049978249cc-2	s	English	Neutral	neutral negative	2.168	1	19	20	1	
i-7Ky5vFA8AEntcF1N8ZJcqr	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.881	1	15	18	0	
i-7Ky625Kk2Mrg99BCkeQZFJ	i-ba85b049978249cc-2	s	English	Neutral	neutral positive	2.923	1	5	6	0	
