ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-EE_2022-06-17_U1	ParlaMint-EE-en_2022-06-17	u	English	-	-	-	13	271	305	19	
ParlaMint-EE_2022-06-17_U1-P1.1	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral positive	3.489	1	5	7	1	
ParlaMint-EE_2022-06-17_U1-P1.2	ParlaMint-EE_2022-06-17_U1	s	English	Positive	positive	4.568	1	2	3	0	
ParlaMint-EE_2022-06-17_U1-P1.3	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral positive	2.975	1	17	18	1	
ParlaMint-EE_2022-06-17_U1-P1.4	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral negative	2.425	1	49	55	5	
ParlaMint-EE_2022-06-17_U1-P2.1	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral positive	2.629	1	11	12	0	
ParlaMint-EE_2022-06-17_U1-P2.2	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral negative	2.296	1	47	51	3	
ParlaMint-EE_2022-06-17_U1-P2.3	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral positive	2.780	1	25	27	1	
ParlaMint-EE_2022-06-17_U1-P2.4	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral positive	3.389	1	9	10	0	
ParlaMint-EE_2022-06-17_U1-P2.5	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral negative	2.224	1	20	22	0	
ParlaMint-EE_2022-06-17_U1-P2.6	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral negative	2.013	1	44	51	3	
ParlaMint-EE_2022-06-17_U1-P2.7	ParlaMint-EE_2022-06-17_U1	s	English	Negative	mixed negative	0.799	1	19	23	2	
ParlaMint-EE_2022-06-17_U1-P3.1	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral positive	2.606	1	20	21	2	
ParlaMint-EE_2022-06-17_U1-P3.2	ParlaMint-EE_2022-06-17_U1	s	English	Neutral	neutral positive	3.032	1	3	5	1	
ParlaMint-EE_2022-06-17_U2	ParlaMint-EE-en_2022-06-17	u	English	-	-	-	11	201	226	7	
ParlaMint-EE_2022-06-17_U2-P1.1	ParlaMint-EE_2022-06-17_U2	s	English	Positive	mixed positive	4.469	1	5	6	1	
