ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-ES-PV_2019-12-20.u0	ParlaMint-ES-PV-en_2019-12-20	u	English	-	-	-	11	129	156	5	
ParlaMint-ES-PV_2019-12-20.seg1.s1	ParlaMint-ES-PV_2019-12-20.u0	s	English	Positive	mixed positive	3.697	1	3	5	0	
ParlaMint-ES-PV_2019-12-20.seg1.s2	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	3.065	1	6	7	0	
ParlaMint-ES-PV_2019-12-20.seg2.s1	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	3.110	1	2	3	0	
ParlaMint-ES-PV_2019-12-20.seg2.s2	ParlaMint-ES-PV_2019-12-20.u0	s	English	Negative	negative	0.448	1	18	23	3	
ParlaMint-ES-PV_2019-12-20.seg2.s3	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral negative	2.338	1	27	32	0	
ParlaMint-ES-PV_2019-12-20.seg3.s1	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	2.923	1	21	22	2	
ParlaMint-ES-PV_2019-12-20.seg3.s2	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	3.055	1	18	20	0	
ParlaMint-ES-PV_2019-12-20.seg4.s1	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	2.863	1	10	11	0	
ParlaMint-ES-PV_2019-12-20.seg4.s2	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	3.216	1	4	5	0	
ParlaMint-ES-PV_2019-12-20.seg5.s1	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	3.305	1	7	9	0	
ParlaMint-ES-PV_2019-12-20.seg5.s2	ParlaMint-ES-PV_2019-12-20.u0	s	English	Neutral	neutral positive	2.811	1	13	19	0	
ParlaMint-ES-PV_2019-12-20.u1	ParlaMint-ES-PV-en_2019-12-20	u	English	-	-	-	5	50	59	3	
ParlaMint-ES-PV_2019-12-20.seg6.s1	ParlaMint-ES-PV_2019-12-20.u1	s	English	Neutral	neutral negative	1.842	1	13	16	0	
ParlaMint-ES-PV_2019-12-20.seg7.s1	ParlaMint-ES-PV_2019-12-20.u1	s	English	Neutral	neutral positive	3.350	1	5	6	0	
ParlaMint-ES-PV_2019-12-20.seg7.s2	ParlaMint-ES-PV_2019-12-20.u1	s	English	Neutral	neutral positive	2.971	1	18	21	2	
ParlaMint-ES-PV_2019-12-20.seg7.s3	ParlaMint-ES-PV_2019-12-20.u1	s	English	Negative	mixed negative	1.088	1	4	5	0	
ParlaMint-ES-PV_2019-12-20.seg8.s1	ParlaMint-ES-PV_2019-12-20.u1	s	English	Positive	mixed positive	3.546	1	10	11	1	
ParlaMint-ES-PV_2019-12-20.u97	ParlaMint-ES-PV-en_2019-12-20	u	English	-	-	-	5	43	57	2	
ParlaMint-ES-PV_2019-12-20.seg682.s1	ParlaMint-ES-PV_2019-12-20.u97	s	English	Negative	mixed negative	0.937	1	5	7	0	
ParlaMint-ES-PV_2019-12-20.seg683.s1	ParlaMint-ES-PV_2019-12-20.u97	s	English	Positive	mixed positive	3.514	1	14	16	1	
ParlaMint-ES-PV_2019-12-20.seg683.s2	ParlaMint-ES-PV_2019-12-20.u97	s	English	Neutral	neutral positive	3.282	1	3	4	0	
ParlaMint-ES-PV_2019-12-20.seg684.s1	ParlaMint-ES-PV_2019-12-20.u97	s	English	Neutral	neutral positive	3.026	1	7	9	0	
ParlaMint-ES-PV_2019-12-20.seg684.s2	ParlaMint-ES-PV_2019-12-20.u97	s	English	Neutral	neutral positive	3.010	1	14	21	1	
ParlaMint-ES-PV_2019-12-20.u98	ParlaMint-ES-PV-en_2019-12-20	u	English	-	-	-	3	41	48	1	
ParlaMint-ES-PV_2019-12-20.seg685.s1	ParlaMint-ES-PV_2019-12-20.u98	s	English	Negative	mixed negative	0.852	1	13	16	1	
ParlaMint-ES-PV_2019-12-20.seg686.s1	ParlaMint-ES-PV_2019-12-20.u98	s	English	Positive	mixed positive	4.230	1	19	22	0	
ParlaMint-ES-PV_2019-12-20.seg687.s1	ParlaMint-ES-PV_2019-12-20.u98	s	English	Neutral	neutral positive	2.779	1	9	10	0	
