ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	ParlaMint-NO-en_2004-06-08-lower	u	English	-	-	-	11	322	354	9	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e51.1	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Negative	mixed negative	1.469	1	10	11	0	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e51.2	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Neutral	neutral positive	2.627	1	12	15	1	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e51.3	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Neutral	neutral negative	1.826	1	42	44	1	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e51.4	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Neutral	neutral negative	2.403	1	20	23	2	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e53.1	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Negative	mixed negative	0.630	1	30	34	0	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e53.2	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Neutral	neutral negative	1.578	1	26	28	0	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e53.3	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Neutral	neutral positive	2.583	1	25	28	2	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e56.1	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Negative	mixed negative	0.608	1	15	17	0	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e56.2	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Neutral	neutral positive	2.503	1	30	32	1	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e56.3	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Neutral	neutral negative	1.811	1	44	49	0	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e56.4	ParlaMint-NO_2004-06-08-lower.ana.ud1454e48	s	English	Negative	mixed negative	0.973	1	68	73	2	
ParlaMint-NO_2004-06-08-lower.ana.ud1454e58	ParlaMint-NO-en_2004-06-08-lower	u	English	-	-	-	18	637	689	5	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e61.1	ParlaMint-NO_2004-06-08-lower.ana.ud1454e58	s	English	Neutral	neutral negative	1.778	1	33	34	0	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e61.2	ParlaMint-NO_2004-06-08-lower.ana.ud1454e58	s	English	Neutral	neutral negative	1.787	1	17	18	0	
ParlaMint-NO_2004-06-08-lower.ana.segd1454e61.3	ParlaMint-NO_2004-06-08-lower.ana.ud1454e58	s	English	Neutral	neutral negative	2.166	1	16	19	0	
