ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-LV_2019-01-31-PT13-516-U1	ParlaMint-LV-en_2019-01-31-PT13-516	u	English	-	-	-	43	783	876	41	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.1	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Positive	mixed positive	3.849	1	4	6	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.2	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	3.241	1	26	27	2	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.3	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	2.849	1	15	16	1	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.4	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	2.985	1	42	48	2	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.5	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	2.540	1	23	28	2	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.6	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral negative	1.703	1	9	10	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.7	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Negative	mixed negative	1.359	1	4	5	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.8	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	3.492	1	7	8	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.9	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	3.113	1	60	65	4	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.10	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral negative	1.703	1	9	10	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.11	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Negative	mixed negative	1.359	1	4	5	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.12	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	3.492	1	7	8	0	
ParlaMint-LV_2019-01-31-PT13-516-U1-P1.13	ParlaMint-LV_2019-01-31-PT13-516-U1	s	English	Neutral	neutral positive	3.096	1	60	65	4	
