ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-UA_2023-11-09-m0.u1	ParlaMint-UA-en_2023-11-09-m0	u	English	-	-	-	57	1062	1196	50	
ParlaMint-UA_2023-11-09-m0.u1.p1.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	5.193	1	3	4	1	
ParlaMint-UA_2023-11-09-m0.u1.p2.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral positive	3.351	1	44	47	1	
ParlaMint-UA_2023-11-09-m0.u1.p3.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral positive	3.217	1	30	34	1	
ParlaMint-UA_2023-11-09-m0.u1.p3.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral negative	1.893	1	32	34	0	
ParlaMint-UA_2023-11-09-m0.u1.p3.lang1.s3	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	mixed positive	4.469	1	30	31	1	
ParlaMint-UA_2023-11-09-m0.u1.p4.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral positive	2.841	1	35	38	0	
ParlaMint-UA_2023-11-09-m0.u1.p5.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	mixed positive	4.009	1	20	23	1	
ParlaMint-UA_2023-11-09-m0.u1.p6.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral positive	3.086	1	16	17	2	
ParlaMint-UA_2023-11-09-m0.u1.p6.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	4.510	1	33	35	0	
ParlaMint-UA_2023-11-09-m0.u1.p7.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral negative	1.639	1	33	37	2	
ParlaMint-UA_2023-11-09-m0.u1.p8.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral positive	3.457	1	14	17	2	
ParlaMint-UA_2023-11-09-m0.u1.p8.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral positive	3.461	1	26	28	4	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	mixed positive	4.486	1	26	29	1	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	5.586	1	21	22	2	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s3	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	5.332	1	13	14	0	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s4	ParlaMint-UA_2023-11-09-m0.u1	s	English	Negative	mixed negative	1.338	1	4	5	0	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s5	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	4.713	1	29	32	1	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s6	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	4.500	1	34	37	3	
ParlaMint-UA_2023-11-09-m0.u1.p9.lang1.s7	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	mixed positive	4.496	1	11	12	1	
ParlaMint-UA_2023-11-09-m0.u1.p10.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	5.370	1	19	20	1	
ParlaMint-UA_2023-11-09-m0.u1.p10.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	5.170	1	4	5	0	
ParlaMint-UA_2023-11-09-m0.u1.p10.lang1.s3	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	4.786	1	14	15	2	
ParlaMint-UA_2023-11-09-m0.u1.p11.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	mixed positive	3.779	1	22	25	0	
ParlaMint-UA_2023-11-09-m0.u1.p11.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	4.791	1	15	16	0	
ParlaMint-UA_2023-11-09-m0.u1.p11.lang1.s3	ParlaMint-UA_2023-11-09-m0.u1	s	English	Positive	positive	4.851	1	18	20	0	
ParlaMint-UA_2023-11-09-m0.u1.p12.lang1.s1	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral negative	2.497	1	7	8	0	
ParlaMint-UA_2023-11-09-m0.u1.p12.lang1.s2	ParlaMint-UA_2023-11-09-m0.u1	s	English	Neutral	neutral positive	2.888	1	14	16	2	
