ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-IS_2017-03-20-44.u1	ParlaMint-IS-en_2017-03-20-44	u	English	-	-	-	4	87	101	11	
ParlaMint-IS_2017-03-20-44.seg1.1	ParlaMint-IS_2017-03-20-44.u1	s	English	Neutral	neutral positive	2.974	1	8	10	1	
ParlaMint-IS_2017-03-20-44.seg1.2	ParlaMint-IS_2017-03-20-44.u1	s	English	Negative	mixed negative	1.217	1	27	33	3	
ParlaMint-IS_2017-03-20-44.seg1.3	ParlaMint-IS_2017-03-20-44.u1	s	English	Neutral	neutral positive	2.829	1	16	19	3	
ParlaMint-IS_2017-03-20-44.seg2.1	ParlaMint-IS_2017-03-20-44.u1	s	English	Negative	mixed negative	0.712	1	36	39	4	
ParlaMint-IS_2017-03-20-44.u2	ParlaMint-IS-en_2017-03-20-44	u	English	-	-	-	4	67	75	7	
ParlaMint-IS_2017-03-20-44.seg3.1	ParlaMint-IS_2017-03-20-44.u2	s	English	Positive	positive	4.591	1	22	23	4	
ParlaMint-IS_2017-03-20-44.seg4.1	ParlaMint-IS_2017-03-20-44.u2	s	English	Neutral	neutral positive	2.858	1	12	14	1	
ParlaMint-IS_2017-03-20-44.seg4.2	ParlaMint-IS_2017-03-20-44.u2	s	English	Negative	negative	0.085	1	10	11	1	
ParlaMint-IS_2017-03-20-44.seg4.3	ParlaMint-IS_2017-03-20-44.u2	s	English	Neutral	neutral positive	2.771	1	23	27	1	
ParlaMint-IS_2017-03-20-44.u67	ParlaMint-IS-en_2017-03-20-44	u	English	-	-	-	11	317	345	1	
ParlaMint-IS_2017-03-20-44.seg246.1	ParlaMint-IS_2017-03-20-44.u67	s	English	Neutral	neutral positive	3.120	1	2	3	0	
ParlaMint-IS_2017-03-20-44.seg246.2	ParlaMint-IS_2017-03-20-44.u67	s	English	Positive	positive	4.620	1	30	33	1	
ParlaMint-IS_2017-03-20-44.seg246.3	ParlaMint-IS_2017-03-20-44.u67	s	English	Negative	mixed negative	0.926	1	19	20	0	
ParlaMint-IS_2017-03-20-44.seg246.4	ParlaMint-IS_2017-03-20-44.u67	s	English	Positive	mixed positive	3.744	1	74	77	0	
ParlaMint-IS_2017-03-20-44.seg247.1	ParlaMint-IS_2017-03-20-44.u67	s	English	Positive	positive	4.812	1	41	44	0	
ParlaMint-IS_2017-03-20-44.seg247.2	ParlaMint-IS_2017-03-20-44.u67	s	English	Negative	mixed negative	1.195	1	20	22	0	
ParlaMint-IS_2017-03-20-44.seg247.3	ParlaMint-IS_2017-03-20-44.u67	s	English	Negative	mixed negative	1.191	1	6	7	0	
ParlaMint-IS_2017-03-20-44.seg248.1	ParlaMint-IS_2017-03-20-44.u67	s	English	Neutral	neutral negative	1.663	1	53	58	0	
ParlaMint-IS_2017-03-20-44.seg248.2	ParlaMint-IS_2017-03-20-44.u67	s	English	Negative	mixed negative	0.697	1	24	29	0	
ParlaMint-IS_2017-03-20-44.seg248.3	ParlaMint-IS_2017-03-20-44.u67	s	English	Neutral	neutral positive	3.305	1	14	15	0	
ParlaMint-IS_2017-03-20-44.seg248.4	ParlaMint-IS_2017-03-20-44.u67	s	English	Neutral	neutral negative	2.247	1	34	37	0	
ParlaMint-IS_2017-03-20-44.u68	ParlaMint-IS-en_2017-03-20-44	u	English	-	-	-	13	333	369	2	
ParlaMint-IS_2017-03-20-44.seg249.1	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	positive	4.788	1	9	10	0	
ParlaMint-IS_2017-03-20-44.seg249.2	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	mixed positive	4.415	1	74	79	0	
ParlaMint-IS_2017-03-20-44.seg249.3	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	positive	5.159	1	5	6	0	
ParlaMint-IS_2017-03-20-44.seg249.4	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	positive	5.206	1	52	55	1	
ParlaMint-IS_2017-03-20-44.seg249.5	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	positive	4.756	1	25	28	0	
ParlaMint-IS_2017-03-20-44.seg249.6	ParlaMint-IS_2017-03-20-44.u68	s	English	Neutral	neutral negative	1.840	1	19	22	0	
ParlaMint-IS_2017-03-20-44.seg249.7	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	mixed positive	3.758	1	14	17	0	
ParlaMint-IS_2017-03-20-44.seg249.8	ParlaMint-IS_2017-03-20-44.u68	s	English	Neutral	neutral positive	3.269	1	18	21	0	
ParlaMint-IS_2017-03-20-44.seg250.1	ParlaMint-IS_2017-03-20-44.u68	s	English	Negative	negative	0.371	1	55	61	1	
ParlaMint-IS_2017-03-20-44.seg250.2	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	mixed positive	3.656	1	22	26	0	
ParlaMint-IS_2017-03-20-44.seg250.3	ParlaMint-IS_2017-03-20-44.u68	s	English	Neutral	neutral negative	1.664	1	22	23	0	
ParlaMint-IS_2017-03-20-44.seg250.4	ParlaMint-IS_2017-03-20-44.u68	s	English	Positive	mixed positive	3.921	1	4	5	0	
ParlaMint-IS_2017-03-20-44.seg250.5	ParlaMint-IS_2017-03-20-44.u68	s	English	Neutral	neutral positive	3.125	1	14	16	0	
