ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-HR_2022-07-14-0.u102963	ParlaMint-HR-en_2022-07-14-0	u	English	-	-	-	2	19	22	2	
ParlaMint-HR_2022-07-14-0.u102963.seg0.1	ParlaMint-HR_2022-07-14-0.u102963	s	English	Positive	positive	4.511	1	2	3	0	
ParlaMint-HR_2022-07-14-0.u102963.seg0.2	ParlaMint-HR_2022-07-14-0.u102963	s	English	Neutral	neutral positive	3.452	1	17	19	2	
ParlaMint-HR_2022-07-14-0.u102964	ParlaMint-HR-en_2022-07-14-0	u	English	-	-	-	27	752	822	32	
ParlaMint-HR_2022-07-14-0.u102964.seg0.1	ParlaMint-HR_2022-07-14-0.u102964	s	English	Positive	positive	4.563	1	16	18	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.2	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.063	1	111	114	4	
ParlaMint-HR_2022-07-14-0.u102964.seg0.3	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	-0.023	1	113	125	6	
ParlaMint-HR_2022-07-14-0.u102964.seg0.4	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	-0.060	1	30	32	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.5	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.105	1	22	24	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.6	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.106	1	35	38	4	
ParlaMint-HR_2022-07-14-0.u102964.seg0.7	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.149	1	56	59	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.8	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.079	1	46	50	2	
ParlaMint-HR_2022-07-14-0.u102964.seg0.9	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.096	1	10	11	2	
ParlaMint-HR_2022-07-14-0.u102964.seg0.10	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.249	1	1	2	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.11	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	-0.006	1	20	23	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.12	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.045	1	16	17	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.13	ParlaMint-HR_2022-07-14-0.u102964	s	English	Neutral	neutral positive	3.458	1	23	25	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.14	ParlaMint-HR_2022-07-14-0.u102964	s	English	Neutral	neutral positive	2.984	1	11	12	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.15	ParlaMint-HR_2022-07-14-0.u102964	s	English	Positive	mixed positive	3.742	1	4	8	2	
ParlaMint-HR_2022-07-14-0.u102964.seg0.16	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.035	1	42	46	2	
ParlaMint-HR_2022-07-14-0.u102964.seg0.17	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.168	1	9	10	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.18	ParlaMint-HR_2022-07-14-0.u102964	s	English	Neutral	neutral positive	3.235	1	15	17	2	
ParlaMint-HR_2022-07-14-0.u102964.seg0.19	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.375	1	8	9	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.20	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.051	1	21	24	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.21	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.111	1	9	11	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.22	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	0.492	1	27	30	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.23	ParlaMint-HR_2022-07-14-0.u102964	s	English	Negative	negative	-0.009	1	65	71	1	
ParlaMint-HR_2022-07-14-0.u102964.seg0.24	ParlaMint-HR_2022-07-14-0.u102964	s	English	Neutral	neutral negative	1.843	1	22	24	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.25	ParlaMint-HR_2022-07-14-0.u102964	s	English	Neutral	neutral positive	3.084	1	9	9	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.26	ParlaMint-HR_2022-07-14-0.u102964	s	English	Neutral	neutral positive	3.326	1	9	10	0	
ParlaMint-HR_2022-07-14-0.u102964.seg0.27	ParlaMint-HR_2022-07-14-0.u102964	s	English	Positive	positive	4.511	1	2	3	0	
ParlaMint-HR_2022-07-14-0.u122704	ParlaMint-HR-en_2022-07-14-0	u	English	-	-	-	2	76	81	5	
ParlaMint-HR_2022-07-14-0.u122704.seg0.1	ParlaMint-HR_2022-07-14-0.u122704	s	English	Positive	positive	5.007	1	72	76	5	
ParlaMint-HR_2022-07-14-0.u122704.seg0.2	ParlaMint-HR_2022-07-14-0.u122704	s	English	Positive	positive	4.795	1	4	5	0	
ParlaMint-HR_2022-07-14-0.u122705	ParlaMint-HR-en_2022-07-14-0	u	English	-	-	-	1	20	24	0	
ParlaMint-HR_2022-07-14-0.u122705.seg0.1	ParlaMint-HR_2022-07-14-0.u122705	s	English	Positive	mixed positive	3.709	1	20	24	0	
