ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-NL_2017-01-26-tweedekamer-4.u1	ParlaMint-NL_2017-01-26-tweedekamer-4	u	Nederlands	-	-	-	10	117	131	5	
ParlaMint-NL_2017-01-26-tweedekamer-4.s2	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Positief	positief	4.533	1	7	8	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s3	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Positief	gemend-positief	3.850	1	13	14	2	
ParlaMint-NL_2017-01-26-tweedekamer-4.s4	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Positief	positief	4.553	1	8	9	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s5	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Neutraal	neutraal-positief	2.781	1	11	13	1	
ParlaMint-NL_2017-01-26-tweedekamer-4.s6	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Neutraal	neutraal-negatief	2.455	1	14	15	1	
ParlaMint-NL_2017-01-26-tweedekamer-4.s7	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Neutraal	neutraal-positief	2.537	1	13	14	1	
ParlaMint-NL_2017-01-26-tweedekamer-4.s8	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Neutraal	neutraal-positief	2.702	1	14	15	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s9	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Neutraal	neutraal-negatief	1.530	1	15	17	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s10	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Neutraal	neutraal-positief	2.830	1	11	13	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s11	ParlaMint-NL_2017-01-26-tweedekamer-4.u1	s	Nederlands	Positief	gemend-positief	3.573	1	11	13	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.u2	ParlaMint-NL_2017-01-26-tweedekamer-4	u	Nederlands	-	-	-	44	785	874	11	
ParlaMint-NL_2017-01-26-tweedekamer-4.s13	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Positief	gemend-positief	3.838	1	1	2	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s14	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Positief	gemend-positief	4.071	1	22	25	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s15	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Positief	gemend-positief	4.048	1	27	29	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s16	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Positief	gemend-positief	3.976	1	11	13	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s17	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Positief	gemend-positief	4.434	1	40	46	1	
ParlaMint-NL_2017-01-26-tweedekamer-4.s18	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	3.074	1	26	31	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s19	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Positief	positief	4.592	1	13	15	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s20	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	2.680	1	19	20	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s21	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	2.629	1	18	19	2	
ParlaMint-NL_2017-01-26-tweedekamer-4.s22	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	2.502	1	11	12	1	
ParlaMint-NL_2017-01-26-tweedekamer-4.s23	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	2.972	1	20	21	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s24	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	2.828	1	27	29	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s25	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Negatief	gemengd negatief	0.688	1	11	13	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s26	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-negatief	2.403	1	20	22	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s27	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-negatief	1.765	1	6	7	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s28	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Negatief	negatief	0.167	1	5	6	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s29	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Negatief	gemengd negatief	1.133	1	28	31	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s30	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Negatief	gemengd negatief	1.173	1	20	23	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s31	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-negatief	2.339	1	15	17	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s32	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-negatief	1.947	1	9	10	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s33	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Negatief	gemengd negatief	0.559	1	6	7	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s34	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Negatief	negatief	0.136	1	15	17	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s35	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	2.829	1	16	17	2	
ParlaMint-NL_2017-01-26-tweedekamer-4.s36	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-positief	3.431	1	11	12	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s37	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-negatief	2.139	1	9	10	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s38	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Positief	gemend-positief	3.528	1	17	20	0	
ParlaMint-NL_2017-01-26-tweedekamer-4.s39	ParlaMint-NL_2017-01-26-tweedekamer-4.u2	s	Nederlands	Neutraal	neutraal-negatief	1.917	1	21	23	0	
